account,age,job,marital,education,balance,cc
1001,30,unemployed,married,primary,787,yes
1002,33,services,married,secondary,4789,no
1003,35,management,single,tertiary,1350,no
1004,30,management,married,tertiary,1476,no
1005,59,blue-collar,married,secondary,0,no
1006,35,management,single,tertiary,747,no
1007,36,self-employed,married,tertiary,307,no
1008,39,technician,married,secondary,147,no
1009,41,entrepreneur,married,tertiary,221,no
1010,43,services,married,primary,88,no
1011,39,services,married,secondary,9374,no
1012,43,admin.,married,secondary,264,no
1013,36,technician,married,tertiary,1109,no
1014,20,student,single,secondary,502,no
1015,31,blue-collar,married,secondary,360,no
1016,40,management,married,tertiary,194,no
1017,56,technician,married,secondary,4073,no
1018,37,admin.,single,tertiary,2317,no
1019,25,blue-collar,single,primary,221,no
1020,31,services,married,secondary,132,no
1021,38,management,divorced,unknown,0,no
1022,42,management,divorced,tertiary,16,no
1023,44,services,single,secondary,106,no
1024,44,entrepreneur,married,secondary,93,no
1025,26,housemaid,married,tertiary,543,no
1026,41,management,married,tertiary,5883,no
1027,55,blue-collar,married,primary,627,no
1028,67,retired,married,unknown,696,no
1029,56,self-employed,married,secondary,784,no
1030,53,admin.,married,secondary,105,no
1031,68,retired,divorced,secondary,4189,no
1032,31,technician,married,secondary,171,no
1033,59,management,married,secondary,42,no
1034,32,management,single,tertiary,2536,no
1035,49,technician,married,tertiary,1235,no
1036,42,admin.,divorced,secondary,1811,no
1037,78,retired,divorced,primary,229,no
1038,32,blue-collar,married,secondary,2089,no
1039,33,management,married,secondary,3935,no
1040,23,services,single,tertiary,363,no
1041,38,management,single,tertiary,11971,no
1042,36,management,single,tertiary,553,no
1043,52,blue-collar,married,secondary,1117,no
1044,32,technician,married,tertiary,396,no
1045,32,technician,single,tertiary,2204,no
1046,34,management,single,tertiary,872,no
1047,55,blue-collar,married,primary,145,no
1048,26,blue-collar,married,primary,0,no
1049,32,entrepreneur,single,primary,849,no
1050,61,admin.,married,unknown,4629,no
1051,45,blue-collar,divorced,primary,844,no
1052,37,technician,single,secondary,228,no
1053,38,technician,single,secondary,50,no
1054,34,technician,married,tertiary,1539,no
1055,53,blue-collar,married,secondary,2231,no
1056,48,admin.,married,secondary,3064,no
